Ref_group,n_rows,RE_mean,RE_std,RE_min,RE_max,n_adsorbents,n_adsorbates,regimes,top_adsorbates,top_families
Sugashini & Begum (2015),1,86.0,,86.0,86.0,1,1,Acidic_HighC0:1,Cr3+:1,biomass:1
Tunali et al. (2006),1,17.89,,17.89,17.89,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
Veit et al. (2005),1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
Verma et al. (2013),1,76.2,,76.2,76.2,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
Wu et al. (2013),1,98.2,,98.2,98.2,1,1,Acidic_HighC0:1,Cr3+:1,carbon_based:1
Yang et al. (2014a),1,92.65,,92.65,92.65,1,1,Acidic_HighC0:1,Cr3+:1,carbon_based:1
Yu et al. (2003),1,90.3,,90.3,90.3,1,1,Acidic_LowC0:1,Cr6+:1,biomass:1
[100],1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Cr6+:1,mineral_oxide:1
[101],1,94.0,,94.0,94.0,1,1,Acidic_LowC0:1,Pb2+:1,mineral_oxide:1
[102],1,66.1,,66.1,66.1,1,1,Acidic_HighC0:1,Hg2+:1,composite_other:1
[103],1,95.0,,95.0,95.0,1,1,Neutral_HighC0:1,Cd2+:1,mineral_oxide:1
[104],1,96.0,,96.0,96.0,1,1,Acidic_HighC0:1,Cr6+:1,mineral_oxide:1
[105],1,90.0,,90.0,90.0,1,1,Acidic_HighC0:1,Cr6+:1,mineral_oxide:1
[106],1,92.0,,92.0,92.0,1,1,Acidic_HighC0:1,Pb2+:1,mineral_oxide:1
[107],1,97.25,,97.25,97.25,1,1,Acidic_HighC0:1,Cr6+:1,composite_other:1
[108],1,98.177,,98.177,98.177,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
[86],1,98.7,,98.7,98.7,1,1,Acidic_LowC0:1,Cr3+:1,mineral_oxide:1
[87],1,92.0,,92.0,92.0,1,1,Acidic_LowC0:1,Cd2+:1,mineral_oxide:1
[88],1,94.32,,94.32,94.32,1,1,Acidic_LowC0:1,Co2+:1,mineral_oxide:1
[94],1,72.15,,72.15,72.15,1,1,Acidic_HighC0:1,Cu2+:1,mineral_oxide:1
[99],1,99.0,,99.0,99.0,1,1,Acidic_HighC0:1,Pb2+:1,composite_other:1
https://link.springer.com/article/10.1007/s12010-011-9521-7,1,98.0,,98.0,98.0,1,1,Acidic_LowC0:1,Cu2+:1,composite_other:1
https://www.sciencedirect.com/science/article/pii/S0011916410005400,1,90.65,,90.65,90.65,1,1,Acidic_LowC0:1,Cr6+:1,composite_other:1
https://www.sciencedirect.com/science/article/pii/S109301910100079X,1,81.0,,81.0,81.0,1,1,Acidic_HighC0:1,Cr6+:1,composite_other:1
Özer & Özer (2004),1,99.9,,99.9,99.9,1,1,Acidic_HighC0:1,Cr3+:1,composite_other:1
Şahan et al. (2010),1,65.38,,65.38,65.38,1,1,Acidic_HighC0:1,Cu2+:1,composite_other:1
